Department,DistinguishedName,Enabled,GivenName,mail,Manager,Name,ObjectClass,ObjectGUID,OfficePhone,SamAccountName,SID,sn,Surname,Title,UserPrincipalName,DoB,Gender,
Content Management Consulting,CN=Mary Cha,TRUE,Mary,maryc@contoso.com,CN=Stan Orme,Mary Cha,user,87d72a92-cf0c-40f5-b5a2-075d0fc9da0b,(20) 5555-4594,maryc,S-1-5-21-331390976-2650875657-2422772959-1755,Cha,Cha,Content Management Consultant,,4/29/1970,2,Other
Content Management Consulting,CN=Matt Hink,TRUE,Matt,matth@contoso.com,CN=Stan Orme,Matt Hink,user,29dcc0c2-e14d-4eb4-8d0c-eeffee01b314,(206) 555-4157,matth,S-1-5-21-331390976-2650875657-2422772959-1830,Hink,Hink,Content Management Consultant,,5/22/1980,1,Female
1099 Contractor,CN=Maurice Taylor,TRUE,Maurice,maurict@contoso.com,CN=Brian Groth,Maurice Taylor,user,a0c37074-eea7-4cf6-8fae-9d94353b9beb,(206) 555-3382,maurict,S-1-5-21-331390976-2650875657-2422772959-1807,Taylor,Taylor,Project Manager,,1/8/1978,2,Other
Operations,CN=Mchiel Wories,TRUE,Mchiel,mchielw@contoso.com,CN=Keith Dishmo,Mchiel Wories,user,0855552e-0a9c-49c9-ab7b-b5b2139d68c7,(206) 555-4539,mchielw,S-1-5-21-331390976-2650875657-2422772959-1884,Wories,Wories,Procurement Manager,,2/19/1987,1,Female
CRM Strategy,CN=Merav Sror,TRUE,Merav,meravs@contoso.com,CN=Syed Abbas,Merav Sror,user,19810018-8a60-4216-8597-80262e5712d0,(20) 5555-2697,meravs,S-1-5-21-331390976-2650875657-2422772959-1761,Sror,Sror,CRM Consultant,,10/17/1978,0,Male
Strategy Consulting,CN=Michael Ludwig,TRUE,Michael,michael@contoso.com,CN=Cesar Garcia,Michael Ludwig,user,2cfec94e-ced9-41c2-bc54-c29f4bd2f3a8,(206) 555-6621,michael,S-1-5-21-331390976-2650875657-2422772959-1852,Ludwig,Ludwig,Strategy Consultant,,5/31/1973,1,Female
Strategy Consulting,CN=Michael Lund,TRUE,Michael,michal1@contoso.com,CN=Ellen Adams,Michael Lund,user,0f6e0712-63ea-47a3-b209-12b1bda75347,(206) 555-4295,michal1,S-1-5-21-331390976-2650875657-2422772959-1853,Lund,Lund,Strategy Consultant,,9/20/1970,2,Other
Operations,CN=Michael Mainer,TRUE,Michael,michaem@contoso.com,CN=Erika Cheley,Michael Mainer,user,82af565f-9620-4754-a2d8-cb4baa18c1d0,(206) 555-4542,michaem,S-1-5-21-331390976-2650875657-2422772959-1913,Mainer,Mainer,Manager,,4/3/1979,0,Male
Sales,CN=Michael Ovesen,TRUE,Michael,michaeo@contoso.com,CN=Jose Saraiva,Michael Ovesen,user,601b5da0-1569-4b7b-8678-af4fe73a07c4,(201) 555-5625,michaeo,S-1-5-21-331390976-2650875657-2422772959-1909,Ovesen,Ovesen,Salesperson,,10/27/1971,2,Other
Strategy Consulting,CN=Michael Sullivan,TRUE,Michael,michaes@contoso.com,CN=Brad Sutton,Michael Sullivan,user,4f22439d-d769-46ec-a4cb-6fd4a05fbf23,(206) 555-8398,michaes,S-1-5-21-331390976-2650875657-2422772959-1854,Sullivan,Sullivan,Strategy Consultant,,8/2/1987,2,Other
1099 Contractor,CN=Michael Zeman,TRUE,Michael,michaez@contoso.com,CN=Brian Groth,Michael Zeman,user,530fc08d-2ab3-499c-8ba8-f4ad7af64b5d,(206) 555-7177,michaez,S-1-5-21-331390976-2650875657-2422772959-1806,Zeman,Zeman,Project Manager,,12/4/1990,0,Male
Engineering Operations,CN=Michelle Fredette,TRUE,Michelle,michelf@contoso.com,CN=Carol Troup,Michelle Fredette,user,b6c3f269-7c18-4c71-96d9-fa6422cca9dd,(206) 555-6132,michelf,S-1-5-21-331390976-2650875657-2422772959-1941,Fredette,Fredette,Engineer,,1/2/1984,2,Other
1099 Contractor,CN=Michiko Osada,TRUE,Michiko,michiko@contoso.com,CN=Brian Groth,Michiko Osada,user,b3f2cfc1-1e7f-45e3-b54c-1ea8d259f68d,(206) 555-1577,michiko,S-1-5-21-331390976-2650875657-2422772959-1805,Osada,Osada,Project Manager,,10/15/1974,0,Male
Project Management,CN=Mike Nash,TRUE,Mike,miken@contoso.com,CN=Alan Steiner,Mike Nash,user,acacc661-f71d-490a-9cb8-0b7bdfe7c669,(206) 555-8148,miken,S-1-5-21-331390976-2650875657-2422772959-1741,Nash,Nash,Senior Project Manager,,10/7/1980,2,Other
Strategy Consulting,CN=Mike Ray,TRUE,Mike,miker@contoso.com,CN=David Maman,Mike Ray,user,c70fcbcf-e7bc-4e23-bd15-139963b85547,(212) 555-1665,miker,S-1-5-21-331390976-2650875657-2422772959-1781,Ray,Ray,Strategy Consultant,,9/29/1978,0,Male
Project Management,CN=Mike Tiano,TRUE,Mike,miket@contoso.com,CN=Chris Norred,Mike Tiano,user,7491b038-f6dc-42c9-a856-928af8de77d6,(206) 555-6552,miket,S-1-5-21-331390976-2650875657-2422772959-1879,Tiano,Tiano,Business Process Manager,,9/25/1965,0,Male
Senior Management,CN=Molly Clark,TRUE,Molly,mollyc@contoso.com,CN=Anna Lidman,Molly Clark,user,e644bedd-9b3a-4fa5-be62-f027f2e97dd5,(425) 555-0192,mollyc,S-1-5-21-331390976-2650875657-2422772959-1726,Clark,Clark,GM of Online Ad Sales and Affiliate Marketing,,5/29/1976,1,Female
Sales Engagement Management,CN=Nate Sun,TRUE,Nate,nates@contoso.com,CN=Lene Aalling,Nate Sun,user,b43c196e-de75-4752-8a5c-c0a13f9ccb92,(701) 555-7818,nates,S-1-5-21-331390976-2650875657-2422772959-1903,Sun,Sun,Salesperson,,10/28/1990,0,Male
Project Management,CN=Ned Friend,TRUE,Ned,nedf@contoso.com,CN=Chris Norred,Ned Friend,user,314ee328-bd7f-442e-b1d9-44b29f93f96a,(206) 555-8382,nedf,S-1-5-21-331390976-2650875657-2422772959-1871,Friend,Friend,Project Manager,,4/9/1977,0,Male
Sales Engagement Management,CN=Neil Orint,TRUE,Neil,neilo@contoso.com,CN=April Stewart,Neil Orint,user,8f732dea-9040-4cc3-bb9f-5a49657d3be5,(804) 555-5958,neilo,S-1-5-21-331390976-2650875657-2422772959-1905,Orint,Orint,Salesperson,,10/29/1974,2,Other
Sales,CN=Nuno Farinha,TRUE,Nuno,nunof@contoso.com,CN=David Simpson,Nuno Farinha,user,01d1e01e-bf53-419a-9762-17270b1a7328,(214) 555-1812,nunof,S-1-5-21-331390976-2650875657-2422772959-1921,Farinha,Farinha,Salesperson,,1/2/1984,1,Female
Project Management,CN=Nuria Gonzalez,TRUE,Nuria,nuriag@contoso.com,CN=Mike Nash,Nuria Gonzalez,user,0b0be144-c523-49bd-9a1e-ce33380f77d8,(206) 555-8185,nuriag,S-1-5-21-331390976-2650875657-2422772959-1885,Gonzalez,Gonzalez,Senior Project Manager,,9/28/1981,1,Female
Engineering Operations,CN=Olivier Fontana,TRUE,Olivier,olivief@contoso.com,CN=Carol Troup,Olivier Fontana,user,9f42a891-9741-4c8c-88e1-1939c93893dc,(206) 555-7444,olivief,S-1-5-21-331390976-2650875657-2422772959-1940,Fontana,Fontana,Engineer,,6/18/1977,1,Female
Strategy Consulting,CN=Parna Khot,TRUE,Parna,parnak@contoso.com,CN=Aaron Painter,Parna Khot,user,334959d2-aa9c-4a16-9de6-a81831dc5fa6,(206) 555-8454,parnak,S-1-5-21-331390976-2650875657-2422772959-1838,Khot,Khot,Strategy Consultant,,6/14/1975,0,Male
Sales,CN=Patricia Doyle,TRUE,Patricia,patricd@contoso.com,CN=Lene Aalling,Patricia Doyle,user,c021f93c-6083-4fe8-8354-01406e5dc9a2,(312) 555-9181,patricd,S-1-5-21-331390976-2650875657-2422772959-1965,Doyle,Doyle,Salesperson,,5/25/1967,2,Other
Engineering Operations,CN=Paul Duffy,TRUE,Paul,pauld@contoso.com,CN=Carol Troup,Paul Duffy,user,9aca78b2-fd43-4c54-a946-68bc3cabdce6,(206) 555-9351,pauld,S-1-5-21-331390976-2650875657-2422772959-1936,Duffy,Duffy,Senior Engineer,,6/20/1987,0,Male
Sales,CN=Pavel Simsa,TRUE,Pavel,pavels@contoso.com,CN=David Simpson,Pavel Simsa,user,df5f44c7-dcbc-4b3d-b8d1-a96021f4e660,(06) 5555-1284,pavels,S-1-5-21-331390976-2650875657-2422772959-1901,Simsa,Simsa,Salesperson,,11/10/1970,0,Male
Content Management Consulting,CN=Peder Thode,TRUE,Peder,pedert@contoso.com,CN=Stan Orme,Peder Thode,user,45a85a2d-37c8-47e6-9a5a-6f6bc2c7421e,(20) 5555-7862,pedert,S-1-5-21-331390976-2650875657-2422772959-1754,Thode,Thode,Content Management Consultant,,8/27/1986,2,Other
Content Management Consulting,CN=Peter Saddow,TRUE,Peter,peters@contoso.com,CN=Stan Orme,Peter Saddow,user,7c2df1cf-6aef-4b5a-8666-e8fbe1f97663,(212) 555-9437,peters,S-1-5-21-331390976-2650875657-2422772959-1764,Saddow,Saddow,Content Management Consultant,,11/26/1984,0,Male
Marketing,CN=Phyllis Harris,TRUE,Phyllis,phyllih@contoso.com,CN=Kelly Krout,Phyllis Harris,user,40ca4888-5bf2-46d7-a822-e727c49aa184,(206) 555-1214,phyllih,S-1-5-21-331390976-2650875657-2422772959-1968,Harris,Harris,Marketing Specialist,,1/8/1972,2,Other
Marketing,CN=Pieter Wycoff,TRUE,Pieter,pieterw@contoso.com,CN=Kelly Krout,Pieter Wycoff,user,f276117d-795e-464f-be3c-80385f7c1f66,(206) 555-9269,pieterw,S-1-5-21-331390976-2650875657-2422772959-1943,Wycoff,Wycoff,Marketing Specialist,,4/3/1988,0,Male
1099 Contractor,CN=Qiong Wu,TRUE,Qiong,qiongw@contoso.com,CN=Brian Groth,Qiong Wu,user,98610f21-6f4a-4c66-8b52-006eb7c51ba2,(206) 555-2342,qiongw,S-1-5-21-331390976-2650875657-2422772959-1804,Wu,Wu,Project Manager,,1/13/1972,0,Male
Strategy Consulting,CN=Ray Chow,TRUE,Ray,rayc@contoso.com,CN=David Maman,Ray Chow,user,11afd577-064c-41a9-8a91-6635b8807294,(206) 555-5295,rayc,S-1-5-21-331390976-2650875657-2422772959-1855,Chow,Chow,Strategy Consultant,,2/1/1978,2,Other
Project Management,CN=Ray Mohrman,TRUE,Ray,raym@contoso.com,CN=Barry Johnson,Ray Mohrman,user,f3631d6c-f336-4b68-82c7-54c0298f62ff,(206) 555-1471,raym,S-1-5-21-331390976-2650875657-2422772959-1878,Mohrman,Mohrman,Senior Project Manager,,11/9/1983,0,Male
Content Management Consulting,CN=Reina Cabatana,TRUE,Reina,reinac@contoso.com,CN=Stan Orme,Reina Cabatana,user,cedb0e6a-9974-4293-8286-7dc8f5985e8a,(20) 5555-3658,reinac,S-1-5-21-331390976-2650875657-2422772959-1762,Cabatana,Cabatana,Content Management Consultant,,5/19/1972,0,Male
Strategy Consulting,CN=Renee Lo,TRUE,Renee,reneel@contoso.com,CN=Aaron Painter,Renee Lo,user,d20f9cd0-3cc4-4f13-8b11-8305abe0bb2b,(206) 555-6864,reneel,S-1-5-21-331390976-2650875657-2422772959-1827,Lo,Lo,Strategy Consultant,,1/21/1974,1,Female
Project Management,CN=Richard Tupy,TRUE,Richard,richart@contoso.com,CN=Andrew Ma,Richard Tupy,user,2727030f-81d6-4816-8bea-ee84608204bc,(206) 555-1694,richart,S-1-5-21-331390976-2650875657-2422772959-1872,Tupy,Tupy,Project Manager,,4/30/1987,0,Male
Project Management,CN=Rob Barker,TRUE,Rob,robb@contoso.com,CN=Chris Norred,Rob Barker,user,134976da-0e4a-4b54-8296-88ec813ee99c,(206) 555-2474,robb,S-1-5-21-331390976-2650875657-2422772959-1869,Barker,Barker,Project Manager,,8/31/1984,0,Male
Operations,CN=Rob Young,TRUE,Rob,roby@contoso.com,CN=Arturo Lopez,Rob Young,user,5f880cde-c4f9-4480-82ea-0362b5397b0f,(206) 555-1739,roby,S-1-5-21-331390976-2650875657-2422772959-1911,Young,Young,IT Manager,,10/30/1985,2,Other
Content Management Consulting,CN=Robert O'Hara,TRUE,Robert,roberto@contoso.com,CN=Stan Orme,Robert O'Hara,user,559cc2f4-1762-40a0-9d58-cd724781215c,(206) 555-3434,roberto,S-1-5-21-331390976-2650875657-2422772959-1782,O'Hara,O'Hara,Content Management Consultant,,10/19/1970,0,Male
Content Management Consulting,CN=Robin Young,TRUE,Robin,robiny@contoso.com,CN=Stan Orme,Robin Young,user,a7123b9f-1060-4213-b5bb-f971303cf182,(212) 555-4428,robiny,S-1-5-21-331390976-2650875657-2422772959-1763,Young,Young,Content Management Consultant,,12/1/1966,1,Female
Strategy Consulting,CN=Roland Wacker,TRUE,Roland,rolandw@contoso.com,CN=Aaron Painter,Roland Wacker,user,61239bbd-fdeb-422b-8efe-40edc8dffaaf,(212) 555-8236,rolandw,S-1-5-21-331390976-2650875657-2422772959-1795,Wacker,Wacker,Strategy Consultant,,6/2/1986,1,Female
Sales,CN=Ron Gabel,TRUE,Ron,rong@contoso.com,CN=April Stewart,Ron Gabel,user,5b97edec-c8a4-44cb-93a9-2994c538296f,(617) 555-2429,rong,S-1-5-21-331390976-2650875657-2422772959-1966,Gabel,Gabel,Salesperson,,1/7/1985,0,Male
Strategy Consulting,CN=Sameer Tejani,TRUE,Sameer,sameert@contoso.com,CN=Ellen Adams,Sameer Tejani,user,d0195cfd-7e9a-4ee8-b838-ec43edba4c68,(212) 555-5422,sameert,S-1-5-21-331390976-2650875657-2422772959-1779,Tejani,Tejani,Strategy Consultant,,7/2/1988,2,Other
Content Management Consulting,CN=Sanjay Patel,TRUE,Sanjay,sanjayp@contoso.com,CN=Stan Orme,Sanjay Patel,user,eddf81c2-bd05-46d7-9795-e7890e209b45,(206) 555-5542,sanjayp,S-1-5-21-331390976-2650875657-2422772959-1794,Patel,Patel,Content Management Consultant,,8/27/1978,1,Female
Executive,CN=Sanjay Shah,TRUE,Sanjay,sanjays@contoso.com,CN=Dan Jump,Sanjay Shah,user,5b25c30e-2a5e-40ac-8ee6-03c009d420da,(425) 555-0107,sanjays,S-1-5-21-331390976-2650875657-2422772959-1892,Shah,Shah,Chief of Technical Strategy,,4/29/1984,1,Female
Project Management,CN=Scott Bishop,TRUE,Scott,scottb@contoso.com,CN=Alan Steiner,Scott Bishop,user,1eb018bb-7347-46fd-8d83-35ad5aaa731e,(206) 555-9977,scottb,S-1-5-21-331390976-2650875657-2422772959-1738,Bishop,Bishop,Senior Project Manager,,2/28/1972,1,Female
Sales,CN=Scott Gode,TRUE,Scott,scottg@contoso.com,CN=David Simpson,Scott Gode,user,732b9335-bd32-4ab2-9391-cdf3b8337250,(201) 555-8474,scottg,S-1-5-21-331390976-2650875657-2422772959-1927,Gode,Gode,Salesperson,,11/11/1974,0,Male
1099 Contractor,CN=Scott MacDonald,TRUE,Scott,scottm@contoso.com,CN=Jenni Merrifield,Scott MacDonald,user,c6279aa8-6854-42af-bdee-da4f7cd7696d,(206) 555-8452,scottm,S-1-5-21-331390976-2650875657-2422772959-1826,MacDonald,MacDonald,Strategy Consultant,,7/4/1968,1,Female
1099 Contractor,CN=Scott Rockfield,TRUE,Scott,scottr@contoso.com,CN=Brian Groth,Scott Rockfield,user,23239dc3-116b-4947-8e54-37a574aace9e,(206) 555-5233,scottr,S-1-5-21-331390976-2650875657-2422772959-1798,Rockfield,Rockfield,Project Manager,,4/13/1969,2,Other
Senior Management,CN=Sean Chai,TRUE,Sean,seanc@contoso.com,CN=Molly Clark,Sean Chai,user,0dd27d49-e37a-4d96-974c-60f1e71ea61c,(425) 555-0193,seanc,S-1-5-21-331390976-2650875657-2422772959-1888,Chai,Chai,Director of Affiliate Marketing and Partnerships,,3/7/1983,2,Other
Project Management,CN=Sean Purcell,TRUE,Sean,seanp@contoso.com,CN=Chris Norred,Sean Purcell,user,4c46b704-4290-4fc4-bf7f-3e36e1afc0dc,(206) 555-6953,seanp,S-1-5-21-331390976-2650875657-2422772959-1877,Purcell,Purcell,Business Process Manager,,5/21/1982,1,Female
Sales,CN=Shmuel Yair,TRUE,Shmuel,shmuely@contoso.com,CN=David Simpson,Shmuel Yair,user,87baf3ad-a775-4d5c-8a10-4c0d5fb0619c,(404) 555-2693,shmuely,S-1-5-21-331390976-2650875657-2422772959-1967,Yair,Yair,Salesperson,,1/8/1985,2,Other
Engineering Operations,CN=Simon Pearson,TRUE,Simon,simonp@contoso.com,CN=Carol Troup,Simon Pearson,user,ade56bf7-667e-465f-bd7a-8402ed4f949a,(206) 555-2318,simonp,S-1-5-21-331390976-2650875657-2422772959-1935,Pearson,Pearson,Senior Engineer,,4/20/1969,1,Female
Project Management,CN=Simon Rapier,TRUE,Simon,simonr@contoso.com,CN=Scott Bishop,Simon Rapier,user,52d68cec-3ea1-4efa-9502-a9f7855da055,(206) 555-9848,simonr,S-1-5-21-331390976-2650875657-2422772959-1868,Rapier,Rapier,Senior Project Manager,,4/2/1969,0,Male
Sales,CN=Spencer Low,TRUE,Spencer,spencel@contoso.com,CN=Jack Creasey,Spencer Low,user,72bd066c-d0ac-4e94-af41-11bd70dd7d40,(253) 555-7934,spencel,S-1-5-21-331390976-2650875657-2422772959-1724,Low,Low,Regional Sales Manager,,1/6/1982,1,Female
Content Management Consulting,CN=Stan Orme,TRUE,Stan,stano@contoso.com,CN=Alan Steiner,Stan Orme,user,e89f603c-3707-49a1-92ad-dc6a231b32f8,(206) 555-6169,stano,S-1-5-21-331390976-2650875657-2422772959-1740,Orme,Orme,Content Management Consulting Manager,,11/25/1970,1,Female
Engineering Operations,CN=Stephen Deming,TRUE,Stephen,stephed@contoso.com,CN=Carol Troup,Stephen Deming,user,4edd87db-2894-4448-be3a-6982b0baf17d,(206) 555-1211,stephed,S-1-5-21-331390976-2650875657-2422772959-1939,Deming,Deming,Engineer,,5/17/1990,2,Other
Sales,CN=Steve Luper,TRUE,Steve,stevel@contoso.com,CN=Jack Creasey,Steve Luper,user,1f666335-b35b-4db6-ad36-a8c93358c611,(619) 555-7772,stevel,S-1-5-21-331390976-2650875657-2422772959-1736,Luper,Luper,Regional Sales Manager,,9/18/1970,0,Male
Strategy Consulting,CN=Steve Masters,TRUE,Steve,stevem@contoso.com,CN=Cesar Garcia,Steve Masters,user,85c26295-3d53-4693-b74a-0a892268728c,(206) 555-4557,stevem,S-1-5-21-331390976-2650875657-2422772959-1850,Masters,Masters,Strategy Consultant,,5/25/1977,1,Female
1099 Contractor,CN=Steven Wright,TRUE,Steven,stevenw@contoso.com,CN=Jenni Merrifield,Steven Wright,user,936a0c68-bb88-44fd-8139-4eb75ec77f73,(206) 555-3155,stevenw,S-1-5-21-331390976-2650875657-2422772959-1818,Wright,Wright,Strategy Consultant,,7/12/1978,0,Male
1099 Contractor,CN=Stuart Munson,TRUE,Stuart,stuartm@contoso.com,CN=Brian Groth,Stuart Munson,user,eb91a45a-463d-4fd8-9036-cbacc05860a5,(206) 555-9366,stuartm,S-1-5-21-331390976-2650875657-2422772959-1803,Munson,Munson,Project Manager,,1/9/1989,0,Male
Engineering Operations,CN=Sunil Koduri,TRUE,Sunil,sunilk@contoso.com,CN=Carol Troup,Sunil Koduri,user,5f29b1e3-d951-4f9d-923d-30bcd2395b77,(206) 555-5651,sunilk,S-1-5-21-331390976-2650875657-2422772959-1934,Koduri,Koduri,Senior Engineer,,2/10/1982,2,Other
Marketing,CN=Sunil Uppal,TRUE,Sunil,sunilu@contoso.com,CN=Kelly Krout,Sunil Uppal,user,06ae3442-d45c-4434-bcbc-8fffc563159c,(206) 555-2416,sunilu,S-1-5-21-331390976-2650875657-2422772959-1956,Uppal,Uppal,Public Relations Specialist,,12/23/1974,1,Female
Sales Engagement Management,CN=Sven Buck,TRUE,Sven,svenb@contoso.com,CN=Arthur Yasinski,Sven Buck,user,a204f649-8442-4f66-b157-36a962d9ed99,(214) 555-4151,svenb,S-1-5-21-331390976-2650875657-2422772959-1914,Buck,Buck,Salesperson,,10/15/1967,0,Male
CRM Strategy,CN=Syed Abbas,TRUE,Syed,syeda@contoso.com,CN=Aaron Painter,Syed Abbas,user,2cfdb538-a03d-44b1-a0f2-b7ef32b713a7,(20) 5555-4595,syeda,S-1-5-21-331390976-2650875657-2422772959-1753,Abbas,Abbas,CRM Consulting Manager,,11/15/1977,1,Female
CRM Strategy,CN=Tad Orman,TRUE,Tad,tado@contoso.com,CN=Syed Abbas,Tad Orman,user,dbf9f74b-86a4-4341-aaca-49c7ccbe7485,(20) 5555-4625,tado,S-1-5-21-331390976-2650875657-2422772959-1775,Orman,Orman,CRM Consultant,,2/3/1977,0,Male
CVP of IT,CN=Tai Lee,TRUE,Tai,tail@contoso.com,CN=Jeff Hay,Tai Lee,user,3d1f6403-e0eb-4324-9640-df6c4f4b3c7b,(425) 555-0131,tail,S-1-5-21-331390976-2650875657-2422772959-1890,Lee,Lee,President of Services,,12/4/1970,0,Male
Project Management,CN=Ted Bremer,TRUE,Ted,tedb@contoso.com,CN=Chris Norred,Ted Bremer,user,999dfb79-ae8a-46b5-96dd-9a4a665f1c83,(206) 555-3874,tedb,S-1-5-21-331390976-2650875657-2422772959-1876,Bremer,Bremer,Business Process Manager,,7/17/1973,2,Other
1099 Contractor,CN=Terrence Phillip,TRUE,Terrence,terrenp@contoso.com,CN=Jenni Merrifield,Terrence Phillip,user,bb00ed50-bc69-4871-bdbf-fadf5be62dd0,(206) 555-1678,terrenp,S-1-5-21-331390976-2650875657-2422772959-1811,Phillip,Phillip,Strategy Consultant,,7/4/1973,2,Other
Project Management,CN=Terry Earls,TRUE,Terry,terrye@contoso.com,CN=Mike Nash,Terry Earls,user,8b66e377-10a0-4346-9f98-4098cfcbffa7,(206) 555-3164,terrye,S-1-5-21-331390976-2650875657-2422772959-1912,Earls,Earls,Project Manager,,10/18/1968,0,Male
1099 Contractor,CN=Thomas Hamborg,TRUE,Thomas,thomash@contoso.com,CN=Brian Groth,Thomas Hamborg,user,dd5cb399-40ae-4fd5-853f-bcf495052b81,(206) 555-4112,thomash,S-1-5-21-331390976-2650875657-2422772959-1841,Hamborg,Hamborg,Project Manager,,4/14/1972,1,Female
Sales,CN=Tina Lassila,TRUE,Tina,tinal@contoso.com,CN=Arthur Yasinski,Tina Lassila,user,ad8b0c28-0128-4688-a396-19723b1a77b1,(607) 555-6337,tinal,S-1-5-21-331390976-2650875657-2422772959-1920,Lassila,Lassila,Salesperson,,10/12/1965,2,Other
Sales Engagement Management,CN=Tina Makovec,TRUE,Tina,tinam@contoso.com,CN=April Stewart,Tina Makovec,user,05809581-4d1d-4c6b-a895-12e5e129bc04,(804) 555-2465,tinam,S-1-5-21-331390976-2650875657-2422772959-1904,Makovec,Makovec,Salesperson,,5/23/1983,0,Male
CRM Strategy,CN=Toby Nixon,TRUE,Toby,tobyn@contoso.com,CN=Syed Abbas,Toby Nixon,user,9149465d-e566-4c1a-801d-8d01c3c00dea,(20) 5555-4379,tobyn,S-1-5-21-331390976-2650875657-2422772959-1774,Nixon,Nixon,CRM Consultant,,4/15/1971,1,Female
Senior Management,CN=Todd Rowe,TRUE,Todd,toddr@contoso.com,CN=Diane Prescott,Todd Rowe,user,b886a5ce-2ea5-4158-9c3d-3d6f0cf7ef40,(425) 555-0124,toddr,S-1-5-21-331390976-2650875657-2422772959-1889,Rowe,Rowe,Sr. Media Planner,,12/1/1967,2,Other
Sales Engagement Management,CN=Tom Youtsey,TRUE,Tom,tomy@contoso.com,CN=David Simpson,Tom Youtsey,user,dbba0074-e5fc-49ec-bc34-74a6329be754,(206) 555-4331,tomy,S-1-5-21-331390976-2650875657-2422772959-1895,Youtsey,Youtsey,Salesperson,,11/16/1977,2,Other
Executive,CN=Toni Poe,TRUE,Toni,tonip@contoso.com,CN=Dan Jump,Toni Poe,user,3b399135-31d6-463b-b91b-368e5b1449d5,(425) 555-0196,tonip,S-1-5-21-331390976-2650875657-2422772959-1893,Poe,Poe,Chief of Partnerships and Strategy,,4/14/1976,1,Female
Engineering Operations,CN=Tony Madigan,TRUE,Tony,tonym@contoso.com,CN=Carol Troup,Tony Madigan,user,6b4a2b4e-0b8d-456d-be2e-d3ddcdc51fb3,(206) 555-6941,tonym,S-1-5-21-331390976-2650875657-2422772959-1933,Madigan,Madigan,Senior Engineer,,11/16/1965,1,Female
Strategy Consulting,CN=Tony Wang,TRUE,Tony,tonyw@contoso.com,CN=Ellen Adams,Tony Wang,user,a2455199-3552-440d-b834-2f92701b5713,(206) 555-4595,tonyw,S-1-5-21-331390976-2650875657-2422772959-1848,Wang,Wang,Strategy Consultant,,6/9/1968,2,Other
CRM Strategy,CN=Tosh Meston,TRUE,Tosh,toshm@contoso.com,CN=Syed Abbas,Tosh Meston,user,e01a7ab1-0498-4364-86cc-7b22410d48f3,(20) 5555-1394,toshm,S-1-5-21-331390976-2650875657-2422772959-1793,Meston,Meston,CRM Consultant,,9/24/1974,1,Female
Strategy Consulting,CN=Trey Pratt,TRUE,Trey,treyp@contoso.com,CN=Cesar Garcia,Trey Pratt,user,3193eddf-826d-40cb-97e5-29d899f0be96,(206) 555-2297,treyp,S-1-5-21-331390976-2650875657-2422772959-1836,Pratt,Pratt,Strategy Consultant,,8/3/1984,0,Male
Sales Engagement Management,CN=Ty Carlson,TRUE,Ty,tyc@contoso.com,CN=Lene Aalling,Ty Carlson,user,b814383c-7677-4688-9657-b7da87029527,(701) 555-4446,tyc,S-1-5-21-331390976-2650875657-2422772959-1886,Carlson,Carlson,Salesperson,,10/30/1968,1,Female
Engineering Operations,CN=Valery Ushakov,TRUE,Valery,valeryu@contoso.com,CN=Carol Troup,Valery Ushakov,user,4bbaa4f6-bf32-4895-a632-147b0450d68a,(206) 555-3599,valeryu,S-1-5-21-331390976-2650875657-2422772959-1792,Ushakov,Ushakov,Engineer,,11/17/1976,0,Male
Sales Engagement Management,CN=Vernette Price,TRUE,Vernette,vernettp@contoso.com,CN=Lene Aalling,Vernette Price,user,10e7c1a2-4a94-497d-a738-3c682f8cf761,(701) 555-6828,vernettp,S-1-5-21-331390976-2650875657-2422772959-1902,Price,Price,Salesperson,,3/1/1972,2,Other
Content Management Consulting,CN=Vladimir Egorov,TRUE,Vladimir,vladime@contoso.com,CN=Stan Orme,Vladimir Egorov,user,c664caf1-1023-4a0d-a90d-ec891eb89e61,(212) 555-9441,vladime,S-1-5-21-331390976-2650875657-2422772959-1765,Egorov,Egorov,Content Management Consultant,,8/17/1986,2,Other
Strategy Consulting,CN=William Vong,TRUE,William,williav@contoso.com,CN=Cesar Garcia,William Vong,user,cc0fab94-80c4-40c6-bad2-e9cf5eef6f2b,(212) 555-5864,williav,S-1-5-21-331390976-2650875657-2422772959-1778,Vong,Vong,Strategy Consultant,,10/7/1965,1,Female
Sales Engagement Management,CN=Ye Xu,TRUE,Ye,yex@contoso.com,CN=Arthur Yasinski,Ye Xu,user,46724360-4b6e-43c9-bb13-b57c7cbd2a12,(214) 555-7757,yex,S-1-5-21-331390976-2650875657-2422772959-1898,Xu,Xu,Salesperson,,6/8/1988,2,Other
